ROI_ID,mean_cloud_annual,intra_cloud_annual,elevation,forest_prob,sveg_prob,cropland_prob,builup_prob,snow_prob,water_prob,var_snow_lt_p90,direct_normal_irradiation,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs,geometry
ROI_0311,60.665417043838126,20.410300012931597,439.75765764615835,0.979674310350817,0.014018781770951942,0.001146359632701742,0,0.004971418205117318,0,0,4.948605008696101,0.852401402656919,0.8820004859619293,0.0038262258525770623,0.9994945431528183,NA,NA,0.9804069379359533,0.44478217099907713,NA,0.7162965425725932,0.5475611427363839,NA,0.638306896294089,0.8773834453565055,0.008617749565451355,0.09660273281819565,0.9349495813733201,NA,"c(-40.3857145262609, -5.98558917535319)"
ROI_0312,51.96914735629243,25.787252592497772,464.34001889805523,0.5987857079446196,8.105573160517368e-5,0,0,0,0,0,5.731226134651092,0.7629076477295996,0.8267788384351434,0.7226546150128912,1,NA,NA,0.9502752900640146,0.8017734458308637,0.8027596251218572,0.9013453695629894,0.9065793079910642,0.12980969622128952,0.5599372817937275,0.9541267982536173,0.8642928755147107,NA,0.5618436637504506,NA,"c(-46.0547246977418, -9.81233361050903)"
ROI_0313,51.41922738449591,24.843005047236947,228.78793582850628,1,0,0,0,0,0,0,4.3143604364249555,0.7843076048075825,0.6955627827932046,0.2480924954537588,1,NA,NA,0.9501090280635932,0.07923386755081925,0.20240596014764825,0.7392035307889868,0.5104830243546311,0.5526872668915636,0.30268409866309937,0.42076612198135865,NA,NA,0.8163538913139582,NA,"c(-80.3429794200137, -5.35129453077776)"
ROI_0314,30.309576406846446,17.230850880433444,3734.9556250436995,0.9456347628733871,0.009823182711198428,0.0015014609330672648,0,0.04304059348234722,0,0.88020245009109,8.313426552743094,0.8747412323657825,0.9016165847139677,0.03983323016616091,0.9962646354341703,NA,NA,0.9177677983193908,0.08889618418072433,0.010063815992168946,0.8943171490557157,0.7518591593123348,0.09797560488908706,0.5447558857097402,0.8657083826047167,NA,0.06863408662070501,0.9699570743799222,0.12574508221249064,"c(-67.6209470609379, -18.6643099985561)"
ROI_0315,20.109247930082795,8.436287948482061,351.062393371786,1,0,0,0,0,0,0,7.459787081400934,0.8158761683237875,0.8964047342251866,0.4515455273205497,0.9999652590133573,NA,NA,0.9007517500071502,0.8638454193584758,NA,0.6619871723703743,0.635123599691861,NA,0.3031867916858825,0.9316028051119578,0.6543275857867425,NA,0.9420994692826958,NA,"c(-113.247067149174, 27.6523006311846)"
ROI_0316,25.37333370849746,11.102750703432745,780.2177580321992,0.9969160224022603,0,0,0,0,0,0.058871156632464526,7.647512926179837,0.9045954951077545,0.9377047959068708,0.08885286341653559,1,NA,NA,0.9917037520754739,0.9094036944242722,NA,0.9445164622831811,0.6760816827524609,0.5918170221274762,0.30557488070890726,0.8661132964512834,NA,0.2968444808703892,0.9946312517662503,NA,"c(-111.44529866952, 29.9610700373187)"
ROI_0317,35.80223970657832,10.832535494557499,1702.5420965927606,0.9994326098787638,0,2.817651622465561e-4,0,2.856249589896596e-4,0,0,7.003257356634918,0.7584753229674176,0.7807958422145426,0.431437546887623,0.9999536774328052,NA,NA,0.8557747667294895,0.8046401631364177,0.4042538964589299,0.8313857787328691,0.7684310581171802,0.028070997175286806,0.45884043196230717,0.9161673669874625,0.6346373934075437,0.26240583868317874,0.5887925495017421,NA,"c(-102.304656914372, 24.3368618065392)"
ROI_0318,33.523311549295784,4.812757183098593,639.7499253373741,0.9994750676429379,0,5.249323570620772e-4,0,0,0,0.08224521185107977,6.263585245601066,0.842037420304664,0.7994059593176864,0.005391499303971689,1,NA,NA,0.9657773235960564,0.03850276251933965,NA,0.7952562051077597,0.03585352766372054,NA,0.5973246258678783,0.7068777777354427,0.010735686815097826,0.5599274493884343,0.9047543675942857,NA,"c(-102.076209691297, 29.9609433039281)"
ROI_0319,24.265509896729775,9.320414156626507,825.36419284845,0.9999112246749087,0,0,0,8.877532509138068e-5,0,0.47657309859676916,7.689150662419921,0.8932766073675004,0.8703383151535048,0.49724054193867684,0.9920987770796884,NA,NA,0.9407311264914208,0.7182175752413555,NA,0.9295020203702522,0.8325116126710849,0.7748929417692972,0.6702121554328669,0.7101525360311337,NA,NA,0.9818827692102572,NA,"c(-113.115240459348, 34.1653804845735)"
ROI_0320,60.133817806369606,10.8021626558653,83.07148107973873,0.6784673519092485,0,0,0,0.008603486940377719,0,56.82958553832631,4.110172489087742,0.8665169278685458,0.6316404412668336,0.7846420123449855,0.9990204657662448,NA,NA,0.9892391200842198,0.03908704516586135,NA,0.9297798783453775,0.7644510670175801,0.7234263185859507,0.635429809466433,0.7504011263922925,0.8850132088955908,0.5401860773134431,0.3538314123556489,0.01639762121896626,"c(-83.8367477638836, 52.5078142931877)"
ROI_0321,59.83092003439378,9.893677271424473,71.28102523049444,0.9768180607609204,0,0,0,0,0,63.8996075713879,3.9984222700369028,0.9197721064202679,0.7541557316807459,0.6845890646722076,0.9865722012885395,NA,NA,0.9985756486259705,NA,NA,0.9122307008268831,0.7373370499373998,0.815702961101503,0.6967187948021384,0.5089478449966739,0.511945271664908,0.6882855620704114,0.9121846388741625,0.8679802399343671,"c(-93.2079413031381, 56.636155720237)"
ROI_0322,51.527584209269,8.110511825131386,226.51913040023894,0.895399508261895,0,0,0,0.07651661063528395,0,66.00427308765859,NA,0.8885830264175538,0.7821384785661528,0.33629023616523085,0.9942999150504185,NA,NA,0.9860925904172424,0.014696215696530505,3.45542489787751e-8,0.6099217459137368,0.6840628936220924,0.6164147848022196,NA,0.609154894527961,0.033762991517200934,NA,0.970966128325072,NA,"c(-120.234353390068, 62.8183321733747)"
ROI_0323,54.93058585073302,11.194752332296757,509.05807723870254,0.9852903146120325,0,0,0,0,0,66.6060190695507,NA,0.6761048609299427,0.7154693394494012,0.13526689493998936,0.9789497042746488,NA,NA,0.7078969899428136,0.5426097673954414,0.2917537378156287,0.5282645765890523,0.85283224123256,0.2185554958734889,0.09551246045319738,0.7098649261268077,NA,0.1231147441725053,0.7399195579216717,NA,"c(-159.741161538381, 64.7970714349072)"
ROI_0324,47.055343027227465,15.528209231970335,98.15077245784495,0.7786136382058121,0,0,0,0.08642856867157375,0,71.13558346207043,NA,0.8021457604267042,0.6785154392962537,0.5959489342275974,0.9427838486901721,0.006249415670016224,NA,0.7787849590600343,3.563955092634225e-4,NA,0.8491772764015378,0.27011172702136715,0.7304246553212465,0.10549584496763023,0.4946031483561854,NA,NA,0.9768366478019099,0.5871731911445158,"c(-129.721050315678, 68.0136775206446)"
ROI_0325,30.9930355904784,10.345866651259527,1535.6618088315513,0.9998726267074776,0,0,0,0,0,0.15898977187533445,7.432498877022757,0.6988931506151572,0.7060741246863413,0.008225981513572568,0.9998702715725684,NA,NA,0.8837221932043492,0.0019451634326080876,NA,0.5066122457952121,0.22740909332924067,0.01631629314757338,NA,0.9434975940464059,NA,0.2515688110232828,0.1572966918772562,NA,"c(-106.127931500243, 27.3386124147893)"
ROI_0327,43.39040181383046,21.149527648318433,54.59940000433632,0.9796125536029273,0.020383586600329625,3.859796743103508e-6,0,0,0,0,4.183449597434661,0.8662087536778448,0.917573328672846,NA,1,NA,NA,0.8352318840659309,0.8785029587805642,NA,0.907342179893104,0.8422874535856807,NA,0.328768260072735,0.9600869424014508,NA,0.6001615448744316,0.8848749513582839,NA,"c(-13.7985374556329, 14.4219866337488)"
ROI_0328,59.38986434604554,26.735998208343997,241.13987577138917,0.9760268024285841,0.013459111243201934,1.2737329252241576e-4,0,0,0,0,3.5739475243899066,0.7859573512011728,0.6984214663230851,0.2099324460778758,0.9991809326694487,NA,NA,0.7835611803278145,0.17543256985222877,NA,0.7844016852790345,0.8352644196144007,0.4477383304649945,0.8250828313267012,0.6638275558401957,NA,0.30243756481775164,0.7730559691300283,0.03835136795581373,"c(-2.06536128813667, 10.1000871522348)"
