ROI_ID,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs
ROI_0384,0.9118536291758332,0.8801398774211754,0.15809837981769348,0.9999907362875831,NA,NA,0.9653710157283562,0.04687816105525091,0.5385501826883393,0.9622937608702424,0.8429009581906555,8.297377959696501e-9,0.7551513545498387,0.6269438318235986,NA,0.10279580878927674,0.968514300998375,NA
ROI_0385,0.67237737585928,0.29088450878868316,4.153772662296716e-10,0.8706610276777401,NA,NA,0.48769577679508636,0.17584290397192354,NA,0.8496886064039949,0.4833294682545023,NA,0.009677389862717692,0.3238793894182932,NA,0.4782919629144646,0.40514186409367586,NA
ROI_0386,0.7573965853132281,0.5381463036092646,0.1249197504349917,0.9307708654479848,NA,NA,0.8566806222128251,0.36865929665422564,0.1963662437839833,0.6149327295710477,0.36154146225194056,0.016376678597772573,0.6076426404671579,0.7731562421371713,0.2482536785531768,0.33947739146721573,0.6188902519812942,NA
ROI_0387,0.6615412397794029,0.7263460546455964,0.29137138518759687,0.7575394969343102,NA,NA,0.6977168428633832,0.7014155911827857,0.2571194105626524,0.7024117378971779,0.7927736817879292,0.3433440475071738,0.4840045697360111,0.8304900531687467,0.34275334290865617,0.0731736717841327,0.9345350408560748,0.18123540898536325
ROI_0388,0.6462559292557608,0.2356096111190632,NA,0.7447335572978804,3.913817731976354e-10,NA,1,NA,NA,0.8020596144314514,NA,NA,0.21923835934704333,0.5491033926075094,NA,0.24061080240302346,0.057917651242124696,NA
ROI_0389,0.7321055479550569,0.5695323049453721,0.0581907957931853,0.856437814357072,NA,NA,0.8445301217331312,0.2186065278362494,NA,0.7876423131942556,0.39252283402940363,0.12894232553090093,0.5039162209627154,0.59144374058825,NA,0.06917119752174254,0.9012781591425214,0.004191116923321214
ROI_0391,0.5738447745128474,0.4556964254910889,NA,0.9858171526009537,NA,NA,0.7818421104652915,0.1575398328496251,NA,0.5457259992143377,0.01713252531561181,NA,0.1404450444993042,0.7779839554833768,NA,0.030268556040127723,0.17203607807471583,NA
ROI_0393,0.7577009301405242,0.7304165604547014,0.17759360701051058,0.827070561088394,NA,NA,0.7861815049775617,0.6045166660579482,0.2891605289578879,0.7553286526396381,0.6002506196583223,0.24597324700249354,0.6098016294494596,0.9020081683629815,0.04416558757025205,0.032593827356695616,0.901444612193429,NA
ROI_0394,0.9148078047838127,0.8208457294717514,0.3137685295418948,1,NA,NA,0.9941608246974791,3.862047642752684e-9,NA,0.9187953973786943,0.44820701801772556,NA,0.7509399701390196,0.44382924223775067,0.47539125544895067,0.0732593716635253,0.8911108210672174,0.002051181980148803
ROI_0395,0.6372412611915531,0.6618686670424481,NA,0.9990065064542647,NA,NA,0.5541231711650434,0.4558937874922311,NA,0.8542739267478997,0.8293487578310633,NA,0.27036386211156954,0.561350893925031,NA,0.06542133643170049,0.7170946346186031,NA
ROI_0396,0.8226713324070404,0.7243428155556322,0.6497382148211239,0.9928158122773704,NA,NA,0.9531460584264781,0.00850189872648022,NA,0.8115272793115038,0.011803072353948143,NA,0.40994084290872235,0.6574855790864329,0.08469529745981319,0.22950919754191265,0.8576370979811017,0.7464274786730115
ROI_0397,0.6732881217835609,0.6926129115648718,NA,0.6577300786097465,0.5254618579893444,NA,0.9985500028272408,NA,NA,0.493532042743202,0.25690801938446833,NA,0.41260741053723704,0.3729118967069759,NA,0.710283215620605,0.9593543240507837,NA
ROI_0398,0.7598419408817819,0.7217937968615783,4.963120931030305e-4,0.9071274602390789,NA,NA,0.900496394186981,0.4604635464160008,0.005862527459099635,0.8189282943836317,0.6635012345530868,NA,0.4298661538921642,0.9268242310562693,NA,0.027207024773908767,0.80957713877970094,NA
ROI_0399,0.7131498830057569,0.49150369487378076,0.022042359689909023,0.9102253120350243,NA,NA,0.43427053557080825,0.3457571334591718,0.07333351984801069,0.1630232997705131,0.31193127525155145,0.016656477032346798,0.9550824023439072,0.8539171228951892,NA,0.024632847889884842,0.6648388529189423,NA
ROI_0400,0.33516205237807356,0.4022756891775398,NA,0.14612956477065564,NA,NA,0.07458149406999881,0.3302073856686046,NA,0.04153507742887048,0.3428249251116534,NA,0.6260446852984368,0.8183241678607701,NA,8.812456390264846e-4,0.6970952872293044,NA
ROI_0401,0.807642696475198,0.71627299314983806,0.44946864607040093,0.9142756300972652,NA,NA,0.9085246518322199,0.002248906440447395,NA,0.8439820573805136,0.7934600148067112,0.771274049298013,0.4942283919191188,0.8546982657266311,0.31029278335719296,0.14379009078032814,0.8901027554884667,0.04920470276658536
ROI_0402,0.6545791221174154,0.52866066433365555,0.008948169307530628,0.6258932425053736,NA,NA,0.802091740888104,0.3600042123959019,NA,0.3784102234432412,0.557623680901004,NA,0.6723022270691915,0.4826120266936103,0.030537917286672073,0.5293675602893418,0.8545976633246862,NA
ROI_0403,0.8670504135682235,0.8536618481383403,0.26878486156657716,0.9710225500710241,0.0050125972378557825,0.03384097479297872,0.8907785690673313,0.6660523262985956,0.007867565947000275,0.8776211267518429,0.853619987157263,0.22968366269319584,0.7630357557095564,0.89222680807732,0.49637322613586266,0.26986521744335795,0.9308597761426356,5.894141188882818e-9
ROI_0404,0.6787266555848772,0.5628199439045672,NA,0.9999444117177032,NA,NA,0.5113726008903652,NA,NA,0.8477314852861855,0.4013762487494572,NA,0.003500713262223579,0.9555276057681816,NA,0.04049456863157682,0.36695683034230975,NA
ROI_0405,0.766609105124236,0.7540029086429537,NA,0.9987667300463128,NA,NA,0.8347518362119486,0.30396372048270115,NA,0.48578732604944813,0.5541946997642464,NA,0.554177975405254,0.6439460026205468,NA,0.5896695677120762,0.9320496470492741,NA
ROI_0406,0.7913600544448015,0.5725500266600456,0.006960116185480659,0.6354770899798163,NA,NA,0.9613668463781789,0.10687193149510645,0.16878587634988323,0.8183463022916229,0.26093543394807084,0.0015291701690634222,0.5360914349003103,0.7139053655109077,NA,0.46142208786257205,0.879263646868691,0.011673013977954366
ROI_0407,0.4606319750149769,0.5475928812551598,0.022326373017725377,0.26510384638802775,NA,NA,0.2418388377966017,0.2667079363712006,NA,0.7692682088827549,0.6754723712600361,0.058929449455218934,0.33944707518076006,0.6987557189545884,NA,2.0711652332729275e-9,0.924838514411268,NA
ROI_0409,0.7657924500028536,0.2926504878193857,NA,0.5089797794904919,NA,NA,0.8944213669746981,0.4358718773162873,NA,0.8433156094321639,0.19099931093699002,NA,0.8548744143817224,0.5676121582461842,NA,0.5489822858972001,0.6602585966747997,NA
ROI_0410,0.48611723560954645,0.43406889510872226,NA,2.0582629555276208e-4,NA,NA,0.76563263246741,0.5293072121555186,NA,0.32860145262894563,0.38360018805374135,NA,0.42927633821152117,0.5592921033234608,NA,0.6657217743560409,0.7569184364694155,NA
ROI_0411,0.7200743446987125,0.5633421942159964,3.2775386984639696e-10,0.9251112707204252,NA,NA,0.7448350098953269,0.09402110115846868,NA,0.34492683704652916,0.8469260744580892,NA,0.648554041858562,0.6158750589668682,NA,0.4877776134440469,0.6028350767926807,NA
ROI_0412,0.7269872029987137,0.5754202435362139,0.12334822118585366,0.8688913128576855,NA,NA,0.577164797415733,0.5746152210008424,NA,0.7915632440946291,0.009510027516656914,NA,0.7156009264113945,0.6249474459615962,0.2907648716077345,0.02523390014366737,0.931416670438557,0.023632311079392194
ROI_0413,0.4289285922295231,0.589605843254897,0.030041003876829855,0.25954746603683193,NA,NA,0.6084461268870136,NA,NA,0.13458408493055876,0.8435904421876919,NA,0.4821348707522751,0.8904061073780611,NA,0.33151629012853595,0.8717114234846902,0.11277909690787856
ROI_0415,0.7548357766529704,0.5557610300511283,NA,0.9989925462349707,NA,NA,0.9292791620845287,0.007655714421021177,NA,0.7854845712015762,1.1120501744672723e-9,NA,0.688618871990372,0.7371935079229687,NA,0.04409807763762595,0.511839733542169,NA
ROI_0416,0.8536440041850055,0.8628112234912283,0.5678885262907496,0.9629971596285042,NA,NA,0.8325012417189744,0.7082693074506597,0.34664240377388744,0.8654483981491043,0.5314504843653943,NA,0.33580625495605526,0.9534570236407559,0.7940420355684795,5.352172953585031e-9,0.951146080015235,NA
ROI_0418,0.7065461461558753,0.7165966935059391,NA,1,NA,NA,0.7248006821319409,0.4080609330001462,NA,0.5682836864987557,0.07798290594184452,NA,0.45408523635077014,0.4306101509340362,NA,2.2213336838124007e-9,0.8675032216299196,NA
ROI_0419,0.72854708869741025,0.6578750354278992,0.01451098299798824,0.9450971000633503,NA,NA,0.8114420488297378,0.36647984839046666,0.08413140438747735,0.4756093171564321,0.15521822654985304,NA,0.2910936793528807,0.6780050628465559,NA,NA,0.8450867104609254,NA
ROI_0421,0.8751635011082302,0.8674510795785653,0.21648367600720336,0.9567935593155159,NA,NA,0.9601358119932288,0.19676219503087633,0.1454100757939113,NA,0.9994899004146689,NA,0.8917759428185751,0.7583477816419124,0.04369660521849408,0.36380153934136206,0.907845677740477,0.28683029806593796
ROI_0425,0.7470645048641135,0.720178801298276,0.049059774067155164,0.7134558138940584,NA,NA,0.9121804466666675,0.030576487654608808,0.003729027334589722,0.7752219065717798,0.7956017315161451,0.0819038093626029,0.3968761036048195,0.9138230129616869,0.05419796619843221,NA,0.9435937909540395,NA
ROI_0427,0.6206392790736094,0.8181607149159364,0.09843102449713069,0.9851760567885698,NA,NA,0.5248303157356233,0.49666812350095624,1.2830382180775185e-8,0.39621883097705557,0.9353785517995723,0.013492514440017625,0.33022357211994646,0.4932978064380179,0.23444133312564708,NA,0.9774395947008012,NA
ROI_0428,0.7679225162877696,0.736188591030206,0.12601082283221193,0.9463200522602996,NA,NA,0.7466648053024684,0.5833444660939163,0.20306463840545524,0.7057101279381764,0.6485669834667415,0.17864097655156197,0.49917423668823707,0.689236547082816,0.08776344819895347,0.4103515830716336,0.9367905494595078,NA
ROI_0429,0.6381747539164332,0.39261092542013243,NA,0.9981065466808311,NA,NA,0.8172802049501997,7.239294887436715e-10,NA,0.5583042064652045,0.6736782810910726,NA,0.39030911686584713,2.188528607967004e-10,NA,0.201752825033752,0.44406835418044893,NA
ROI_0430,0.8302304687530618,0.719171134500389,0.04267839853586334,0.9315616670166329,NA,NA,0.9512463997999465,0.2998026390844779,NA,0.877250490485162,0.7944942238815283,0.05712008640760407,0.6057302616322002,0.7591909256873624,NA,0.3457585721347105,0.8678984757916032,0.15112716027401382
